Peak,Mean,Standard Deviation,Variance,Median,Skew,Kurtosis,Label
3.74,1.949,1.27,1.613,1.523,0.083,-1.732,0
3.56,1.817,1.117,1.247,1.968,-0.041,-1.414,0
3.48,1.204,1.018,1.035,0.87,0.684,-0.961,0
2.64,1.253,0.807,0.651,1.103,0.23,-1.301,0
3.16,1.495,0.834,0.695,1.91,0.054,-1.368,0
3.12,1.087,0.885,0.782,0.72,0.823,-0.526,0
3.07,1.421,0.875,0.766,1.36,0.34,-1.102,0
2.74,1.075,0.676,0.457,1.139,0.17,-0.806,0
2.1,0.932,0.504,0.254,0.97,-0.028,-1.185,0
2.05,1.094,0.527,0.278,1.06,-0.395,-0.851,0
2.32,1.053,0.532,0.283,1.041,0.612,-0.333,0
2.04,1.043,0.48,0.23,0.962,-0.065,-0.967,0
3.61,1.494,0.998,0.996,1.586,0.2,-0.883,0
2.11,0.829,0.575,0.331,0.73,0.638,-0.842,0
3.02,1.064,0.5,0.25,1.053,0.603,0.719,0
3.15,2.049,0.705,0.497,2.31,-1.349,0.93,0
2.19,1.261,0.61,0.372,1.215,-0.374,-0.853,0
3.26,1.877,0.85,0.723,2.287,-0.638,-0.991,0
3.99,2.504,1.1,1.209,2.727,-0.382,-1.175,0
2.21,0.877,0.507,0.257,0.976,-0.021,-1.104,0
1.8,0.855,0.404,0.164,0.847,0.072,-0.714,0
1.87,1.074,0.533,0.285,1.154,-0.409,-1.007,0
2.05,0.968,0.463,0.215,0.907,0.206,-0.994,0
2.29,1.085,0.574,0.329,1.23,-0.113,-1.151,0
2.27,1.093,0.607,0.368,1.237,0.023,-1.05,0
1.96,0.934,0.522,0.272,0.89,0.313,-1.089,0
2.16,1.072,0.632,0.399,1.07,0.125,-1.28,0
1.64,0.819,0.422,0.178,0.98,-0.246,-0.797,0
1.48,0.853,0.462,0.213,0.903,-0.29,-1.599,0
2.03,1.119,0.496,0.246,1,0.199,-0.947,0
2.06,1.059,0.522,0.272,1.15,0.271,-1.075,0
1.64,0.763,0.426,0.181,0.761,0.026,-1.491,0
1.91,0.883,0.421,0.177,0.845,0.489,0.058,0
1.75,0.898,0.444,0.198,1.14,-0.253,-1.417,0
1.65,0.797,0.401,0.161,0.731,0.696,-0.656,0
1.71,0.856,0.427,0.182,0.903,-0.315,-0.564,0
1.97,0.947,0.511,0.262,0.934,0.013,-1.191,0
1.77,0.81,0.418,0.175,0.87,-0.328,-0.952,0
1.76,0.932,0.382,0.146,1.03,-0.548,0.015,0
1.96,0.723,0.448,0.2,0.632,1.071,0.501,0
1.6,0.741,0.376,0.142,0.649,0.132,-0.522,0
1.98,1.4,0.371,0.138,1.49,-1.185,0.842,0
1.94,0.99,0.589,0.347,1.188,-0.408,-1.434,0
2.59,1.686,0.631,0.398,1.8,-0.425,-1.103,0
2.15,1.499,0.551,0.304,1.65,-1.34,1.112,0
2.19,1.115,0.445,0.198,1.006,0.682,-0.529,0
1.54,0.677,0.379,0.144,0.55,0.487,-0.825,0
2.04,0.811,0.448,0.201,0.784,0.79,0.132,0
1.33,0.782,0.292,0.085,0.686,0.189,-0.671,0
1.38,0.801,0.365,0.134,0.897,-0.668,-0.417,0
2.01,1.489,0.36,0.13,1.573,-0.321,-1.319,1
1.56,0.926,0.359,0.129,0.97,-0.292,-0.973,1
1.72,0.94,0.42,0.176,1.018,-0.337,-1.018,1
1.09,0.68,0.191,0.036,0.634,0.501,-0.933,1
1.93,0.742,0.568,0.322,0.513,0.622,-0.987,1
1.74,0.908,0.481,0.231,0.916,0.007,-0.902,1
1.87,1.035,0.421,0.178,1.034,0.108,-0.755,1
2.25,0.96,0.563,0.317,0.932,0.136,-1.063,1
1.98,1.002,0.486,0.237,0.98,0.218,-1.035,1
1.93,1.011,0.497,0.247,1.076,-0.287,-0.656,1
1.49,0.922,0.286,0.082,0.931,0.139,-1.194,1
1.33,0.952,0.29,0.084,1.014,-0.808,0.02,1
1.86,0.873,0.413,0.171,0.956,-0.298,-0.34,1
1.52,0.789,0.379,0.143,0.8,0.015,-1.135,1
1.65,0.727,0.371,0.137,0.693,0.769,-0.106,1
2.43,1.312,0.592,0.351,1.092,0.441,-1.15,1
1.88,0.916,0.559,0.313,0.866,0.219,-1.136,1
3.29,1.442,0.939,0.882,1.2,0.479,-1.081,1
2.79,1.407,0.76,0.578,1.342,0.27,-1.186,1
2.6,1.576,0.789,0.623,1.881,-0.771,-0.78,1
2.12,0.982,0.462,0.213,0.951,0.093,-0.377,1
1.99,0.81,0.499,0.249,0.879,0.653,-0.33,1
2.34,0.986,0.715,0.511,0.856,0.529,-0.804,1
1.43,0.554,0.411,0.169,0.47,0.633,-0.709,1
1.46,0.705,0.355,0.126,0.853,-0.107,-1.487,1
1.88,0.778,0.485,0.235,0.651,0.236,-0.941,1
2.27,1.255,0.631,0.398,1.426,-0.115,-1.412,1
1.96,0.842,0.46,0.212,0.63,0.709,-0.662,1
1.55,0.673,0.468,0.219,0.656,0.252,-1.357,1
2.36,1.04,0.599,0.359,0.99,0.431,-0.704,1
1.67,0.923,0.496,0.246,0.76,0.121,-1.401,1
2.18,1.098,0.564,0.318,1.03,0.06,-1.156,1
2.16,1.327,0.487,0.237,1.506,-0.35,-0.917,1
2.27,1.256,0.599,0.359,1.49,-0.725,-0.644,1
2.27,0.896,0.561,0.314,0.902,0.184,-0.991,1
2.01,1.085,0.518,0.268,1.167,-0.138,-1.406,1
2.04,0.863,0.506,0.256,0.789,0.537,-0.619,1
1.98,1.175,0.539,0.29,1.329,-0.344,-1.206,1
2.2,0.961,0.589,0.346,1.039,-0.025,-1.082,1
2.32,1.116,0.671,0.45,1.243,0.048,-1.339,1
1.5,0.736,0.395,0.156,0.68,0.321,-1.108,1
2.11,0.703,0.526,0.277,0.472,1.01,0.003,1
2.89,1.324,0.74,0.547,1.19,0.236,-0.839,1
1.19,0.693,0.297,0.088,0.734,-0.654,-0.725,1
2.38,1.26,0.68,0.462,1.377,-0.227,-1.549,1
1.9,1.01,0.352,0.124,1.03,-0.005,0.216,1
1.54,0.766,0.335,0.112,0.71,0.227,-0.799,1
1.83,0.986,0.42,0.177,1.015,0.458,-0.795,1
2.87,1.433,0.852,0.726,1.493,-0.044,-1.366,1
2.58,1.404,0.744,0.553,1.385,0.073,-1.475,1
2.2,1.312,0.427,0.182,1.306,0.208,-0.814,2
4.24,1.498,1.054,1.111,1.17,1.001,0.065,2
2.74,1.329,0.876,0.767,1.415,-0.045,-1.504,2
2.61,1.145,0.636,0.405,1.219,0.05,-1.119,2
2.95,1.236,0.843,0.71,1.171,0.429,-0.707,2
2.58,1.113,0.658,0.432,0.965,0.237,-1.156,2
2.72,0.931,0.79,0.624,0.63,0.836,-0.528,2
3.01,1.632,0.865,0.747,1.962,-0.172,-1.492,2
3.6,1.635,1.154,1.331,1.255,0.244,-1.474,2
2.69,1.546,0.544,0.296,1.54,-0.344,0.426,2
2.56,1.357,0.622,0.387,1.53,-0.228,-1.298,2
2.38,1.47,0.655,0.429,1.664,-0.565,-0.659,2
2.27,0.902,0.498,0.248,0.986,0.124,-0.927,2
2.48,1.298,0.559,0.312,1.466,-0.339,-0.995,2
2.59,1.302,0.681,0.464,1.464,-0.307,-1.293,2
2.42,1.169,0.572,0.327,1.241,0.146,-0.705,2
2.71,1.483,0.745,0.555,1.623,-0.508,-0.923,2
2.24,0.954,0.542,0.294,0.948,0.199,-0.475,2
2.65,1.167,0.592,0.351,1.08,0.527,0.203,2
3.04,1.182,0.81,0.656,0.84,0.486,-0.951,2
2.05,1.223,0.585,0.342,1.409,-0.604,-0.977,2
2.13,1.065,0.52,0.271,1.03,-0.112,-0.631,2
1.52,0.696,0.258,0.066,0.598,0.129,-0.209,2
2.49,1.202,0.629,0.396,1.059,0.355,-1.213,2
2.42,1.179,0.614,0.377,1.153,0.387,-0.898,2
2.82,1.25,0.703,0.495,1.255,-0.03,-1.044,2
2.69,1.423,0.739,0.546,1.372,-0.205,-1.164,2
3.08,1.431,0.885,0.783,1.119,0.328,-1.291,2
2.09,1.227,0.375,0.141,1.275,0.151,-0.488,2
1.54,0.832,0.333,0.111,0.87,-0.235,-0.547,2
1.89,0.998,0.492,0.242,0.9,0.027,-0.9,2
2.41,1.254,0.624,0.389,1.34,-0.152,-1.242,2
2,0.854,0.457,0.208,0.804,0.304,-0.655,2
2.76,1.468,0.589,0.347,1.327,0.354,-0.505,2
2.84,1.262,0.751,0.564,1.067,0.286,-1.31,2
4.15,2.057,1.162,1.351,1.83,0.232,-1.2,2
2.39,1.221,0.497,0.247,1.152,0.115,-0.701,2
2.42,0.889,0.644,0.415,0.626,0.638,-0.576,2
2.06,1.009,0.532,0.283,0.917,-0.089,-1.514,2
1.88,0.654,0.354,0.125,0.589,0.839,0.267,2
2.2,1.035,0.55,0.302,1.071,-0.143,-1.448,2
2.3,1.232,0.658,0.433,1.227,-0.113,-1.413,2
3.28,1.702,0.895,0.801,1.659,0.035,-0.974,2
2.91,1.327,0.719,0.517,1.267,0.47,-0.792,2
3.99,1.561,0.896,0.803,1.506,0.514,-0.292,2
3.15,1.65,0.794,0.63,1.601,0.01,-1.024,2
2.13,1.152,0.603,0.363,1.039,-0.018,-1.293,2
2.13,0.997,0.514,0.265,1.12,-0.171,-0.962,2
2.2,0.996,0.564,0.318,1.01,0.375,-0.889,2
2.89,1.576,0.742,0.551,1.584,0.144,-1.194,2
